"id","item_name","action","field_name","old_value","new_value","changed_by","device_id","timestamp"
"62","A666","add","new_item","","LADY","admin","DEV-K4F99U","2026-03-10 14:58:00.476487"
"63","A666","delete","all","","","admin","DEV-JOHU6W","2026-03-10 14:58:08.50207"
"64","NM","view_category","category_opened","","NM","admin","DEV-MDSC2A","2026-03-10 15:02:23.492661"
"65","NM","view_category","category_opened","","NM","admin","DEV-KQDMAJ","2026-03-10 15:11:15.410177"
"66","NM","view_category","category_opened","","NM","hilvait","DEV-7WH4BB","2026-03-10 15:12:18.175623"
"67","Historia","view_category","category_opened","","Historia","hilvait","DEV-7HNAR5","2026-03-10 15:12:24.375093"
"68","NM","view_category","category_opened","","NM","hilvait","DEV-WLGKYG","2026-03-10 15:18:04.140234"
"69","Historia","view_category","category_opened","","Historia","hilvait","DEV-WKBKMO","2026-03-10 15:18:06.247762"
"70","NM","view_category","category_opened","","NM","hilvait","DEV-KPKQI5","2026-03-10 15:18:47.489024"
"71","Historia","view_category","category_opened","","Historia","hilvait","DEV-K7EYY7","2026-03-10 15:18:59.562769"
"72","NM","view_category","category_opened","","NM","hilvait","DEV-JX53LW","2026-03-10 15:21:04.020234"
"73","Historia","view_category","category_opened","","Historia","hilvait","DEV-JXSTUR","2026-03-10 15:21:05.369434"
"74","NM","view_category","category_opened","","NM","hilvait","DEV-7I6C8O","2026-03-10 15:25:56.89476"
"75","Historia","view_category","category_opened","","Historia","hilvait","DEV-7HL3VV","2026-03-10 15:25:58.169392"
"76","LADY","view_category","category_opened","","LADY","hilvait","DEV-LW92NP","2026-03-10 15:29:20.445916"
"77","NM","view_category","category_opened","","NM","hilvait","DEV-Y0JFE7","2026-03-10 15:31:07.673866"
"78","Historia","view_category","category_opened","","Historia","hilvait","DEV-XZYBXX","2026-03-10 15:31:08.931709"
"79","NM","view_category","category_opened","","NM","hilvait","DEV-9VVF48","2026-03-10 15:38:40.249141"
"80","Historia","view_category","category_opened","","Historia","hilvait","DEV-9JPDZ0","2026-03-10 15:38:41.334239"
"81","NM","view_category","category_opened","","NM","hilvait","DEV-JE81WT","2026-03-10 15:41:55.084935"
"82","NM","view_category","category_opened","","NM","hilvait","DEV-4RJCLZ","2026-03-10 15:47:55.837828"
"83","NM","view_category","category_opened","","NM","hilvait","DEV-WMSPBA","2026-03-10 15:52:39.899712"
"84","NM","view_category","category_opened","","NM","hilvait","DEV-W5MLE0","2026-03-10 15:52:50.292581"
"85","NM","view_category","category_opened","","NM","hilvait","DEV-4RV9QZ","2026-03-10 16:01:29.329054"
"86","LADY","view_category","category_opened","","LADY","admin","DEV-WXZK7S","2026-03-10 22:48:00.596808"
"87","NM","view_category","category_opened","","NM","admin","DEV-XAIXOZ","2026-03-10 22:48:00.807611"
"88","NM","view_category","category_opened","","NM","GalinaMir","DEV-JZE1QZ","2026-03-11 13:40:01.365433"
"89","Lodowki","view_category","category_opened","","Lodowki","GalinaMir","DEV-K2PFP5","2026-03-11 13:40:06.154839"
"90","NM","view_category","category_opened","","NM","GalinaMir","DEV-XBY8IM","2026-03-11 13:41:16.587264"
"91","Lodowki","view_category","category_opened","","Lodowki","GalinaMir","DEV-XCIMMZ","2026-03-11 13:41:17.368093"
"92","NM","view_category","category_opened","","NM","admin","DEV-LGNVNN","2026-03-12 00:52:26.642488"
"93","NM","view_category","category_opened","","NM","hilvait","DEV-MDNJ5V","2026-03-12 00:52:43.275135"
"94","Historia","view_category","category_opened","","Historia","hilvait","DEV-MGDXE3","2026-03-12 00:52:48.507622"
"95","NM","view_category","category_opened","","NM","hilvait","DEV-RGCZJL","2026-03-12 09:56:21.458083"
"96","NM","view_category","category_opened","","NM","admin","DEV-QZBUY2","2026-03-12 09:56:27.929303"
"97","LADY","view_category","category_opened","","LADY","admin","DEV-QM3OJL","2026-03-12 09:56:31.282976"
"98","A20","add","new_item","","LADY","admin","DEV-BUJ29A","2026-03-12 09:58:17.396965"
"99","NM","view_category","category_opened","","NM","admin","DEV-1XG1BX","2026-03-12 09:59:39.91474"
"100","LADY","view_category","category_opened","","LADY","admin","DEV-2A3ET0","2026-03-12 09:59:41.799746"
"101","NM","view_category","category_opened","","NM","GalinaMir","DEV-LVVQ2","2026-03-12 10:29:37.319421"
"102","Lodowki","view_category","category_opened","","Lodowki","GalinaMir","DEV-YJ5Y1","2026-03-12 10:29:38.083923"
"103","L003","edit","all","","L003","GalinaMir","DEV-DSZCRF","2026-03-12 10:30:42.707987"
"104","NM","view_category","category_opened","","NM","admin","DEV-ADSCIL","2026-03-12 10:31:07.205195"
"105","Lodowki","view_category","category_opened","","Lodowki","admin","DEV-AEW0U4","2026-03-12 10:31:09.102953"
"106","L003","edit","all","","L003","admin","DEV-B9LUD1","2026-03-12 10:31:22.948775"
"107","NM","view_category","category_opened","","NM","admin","DEV-2W8G6","2026-03-12 10:32:55.990654"
"108","NM","view_category","category_opened","","NM","GalinaMir","DEV-B5WI8W","2026-03-12 10:35:53.936875"
"109","Lodowki","view_category","category_opened","","Lodowki","GalinaMir","DEV-A9VVZC","2026-03-12 10:36:10.906888"
"110","Krzesla","view_category","category_opened","","Krzesla","GalinaMir","DEV-A8CZSX","2026-03-12 10:36:13.152927"
"111","K001","edit","all","","K001","GalinaMir","DEV-9CF2P7","2026-03-12 10:36:29.621303"
"112","NM","view_category","category_opened","","NM","admin","DEV-2Z3X1L","2026-03-12 10:37:21.161193"
"113","Lodowki","view_category","category_opened","","Lodowki","admin","DEV-2WIP2U","2026-03-12 10:37:25.342263"
"114","NM","view_category","category_opened","","NM","RatajczakB","DEV-AWZB3S","2026-03-12 10:48:55.206867"
"115","NM","view_category","category_opened","","NM","GalinaMir","DEV-XIFM2G","2026-03-13 06:34:54.41526"
"116","NM","view_category","category_opened","","NM","Adrianna","DEV-MBFRJD","2026-03-13 10:14:51.427549"
"117","NM","view_category","category_opened","","NM","GalinaMir","DEV-ZEJ3TR","2026-03-14 17:58:53.593274"
"118","NM","view_category","category_opened","","NM","GalinaMir","DEV-XBHHYX","2026-03-14 18:07:08.56304"
