"id","item_name","action","field_name","old_value","new_value","changed_by","device_id","timestamp"
"257","LADY","view_category","category_opened","","LADY","hilvait","DEV-8VPQOW","2026-03-18 15:39:19.329857"
"258","Historia","view_category","category_opened","","Historia","hilvait","DEV-8HDSO2","2026-03-18 15:39:25.143135"
"259","Ekspresy","view_category","category_opened","","Ekspresy","hilvait","DEV-57WZXB","2026-03-18 15:54:17.035823"
"260","Historia","view_category","category_opened","","Historia","hilvait","DEV-59L1J2","2026-03-18 15:54:19.97116"
"261","LADY","view_category","category_opened","","LADY","hilvait","DEV-5A4SPM","2026-03-18 15:54:20.905543"
"262","NM","view_category","category_opened","","NM","hilvait","DEV-5MMZ89","2026-03-18 15:54:21.916399"
"263","Krzesla","view_category","category_opened","","Krzesla","hilvait","DEV-5N6NCL","2026-03-18 15:54:23.056621"
"264","NM","view_category","category_opened","","NM","hilvait","DEV-5OEPCK","2026-03-18 15:54:25.766012"
"265","Historia","view_category","category_opened","","Historia","hilvait","DEV-5OZBOA","2026-03-18 15:54:26.942823"
"266","NM","view_category","category_opened","","NM","hilvait","DEV-WMT27X","2026-03-18 15:56:53.505237"
"267","Historia","view_category","category_opened","","Historia","hilvait","DEV-WOEJ40","2026-03-18 15:56:56.106633"
"268","NM","view_category","category_opened","","NM","hilvait","DEV-P3GNVA","2026-03-18 15:58:06.015715"
"269","Historia","view_category","category_opened","","Historia","hilvait","DEV-P2TRB2","2026-03-18 15:58:07.480981"
"270","LADY","view_category","category_opened","","LADY","hilvait","DEV-P28QD7","2026-03-18 15:58:08.691391"
"271","NM","view_category","category_opened","","NM","hilvait","DEV-P1TA4X","2026-03-18 15:58:08.866907"
"272","Krzesla","view_category","category_opened","","Krzesla","hilvait","DEV-P1QT6G","2026-03-18 15:58:09.372137"
"273","LADY","view_category","category_opened","","LADY","hilvait","DEV-P19IEK","2026-03-18 15:58:09.809456"
"274","Historia","view_category","category_opened","","Historia","hilvait","DEV-P16ZV9","2026-03-18 15:58:10.42944"
"275","LADY","view_category","category_opened","","LADY","hilvait","DEV-P13QS4","2026-03-18 15:58:10.921537"
"276","Historia","view_category","category_opened","","Historia","hilvait","DEV-OOLN89","2026-03-18 15:58:12.094501"
"277","LADY","view_category","category_opened","","LADY","hilvait","DEV-OOHU1S","2026-03-18 15:58:12.689138"
"278","NM","view_category","category_opened","","NM","hilvait","DEV-WNNVKJ","2026-03-18 16:06:25.714404"
"279","LADY","view_category","category_opened","","LADY","hilvait","DEV-WLXSFQ","2026-03-18 16:06:27.84015"
"280","NM","view_category","category_opened","","NM","GalinaMir","DEV-N87KI5","2026-03-23 09:18:20.11177"
"281","Lodowki","view_category","category_opened","","Lodowki","GalinaMir","DEV-MVKX9P","2026-03-23 09:18:21.989758"
"282","NM","view_category","category_opened","","NM","GalinaMir","DEV-BIAK94","2026-03-23 09:45:58.825786"
"283","Lodowki","view_category","category_opened","","Lodowki","GalinaMir","DEV-B57FN3","2026-03-23 09:45:58.991803"
"284","NM","view_category","category_opened","","NM","RatajczakB","DEV-KVBAB7","2026-03-24 05:35:21.783613"
"285","NM","view_category","category_opened","","NM","Adrianna","DEV-TJYSGZ","2026-03-24 10:20:01.576269"
"286","Lodowki","view_category","category_opened","","Lodowki","Adrianna","DEV-TI6UPZ","2026-03-24 10:20:03.946288"
"287","NM","view_category","category_opened","","NM","GalinaMir","DEV-4WOX27","2026-03-24 13:50:56.321641"
"288","Lodowki","view_category","category_opened","","Lodowki","GalinaMir","DEV-4W0I84","2026-03-24 13:50:56.650172"
"289","NM","view_category","category_opened","","NM","GalinaMir","DEV-90L8QT","2026-03-31 04:20:27.709717"
"290","Lodowki","view_category","category_opened","","Lodowki","GalinaMir","DEV-9DS9ME","2026-03-31 04:20:27.813094"
"291","NM","view_category","category_opened","","NM","GalinaMir","DEV-MDGATW","2026-03-31 04:22:18.412628"
"292","Lodowki","view_category","category_opened","","Lodowki","GalinaMir","DEV-LT8CAU","2026-03-31 04:22:33.508256"
"293","NM","view_category","category_opened","","NM","admin","DEV-1U4T4P","2026-03-31 06:24:10.193816"
"294","Lodowki","view_category","category_opened","","Lodowki","admin","DEV-26QO9C","2026-03-31 06:24:10.52858"
"295","L010","edit","all","","L010","admin","DEV-G1YMNV","2026-03-31 06:25:40.005605"
"296","NM","view_category","category_opened","","NM","admin","DEV-VI7NGE","2026-03-31 06:48:35.367278"
"297","Lodowki","view_category","category_opened","","Lodowki","admin","DEV-W0WJZS","2026-03-31 06:48:46.04798"
"298","NM","view_category","category_opened","","NM","GalinaMir","DEV-3QAVKT","2026-03-31 06:53:41.317269"
"299","Lodowki","view_category","category_opened","","Lodowki","GalinaMir","DEV-3RXNXC","2026-03-31 06:53:44.291095"
"300","NM","view_category","category_opened","","NM","hilvait","DEV-2CNVVL","2026-03-31 10:22:23.131588"
"301","Lodowki","view_category","category_opened","","Lodowki","hilvait","DEV-2AZQM3","2026-03-31 10:22:24.999279"
"302","Lodowki","view_category","category_opened","","Lodowki","admin","DEV-R326J9","2026-03-31 10:36:16.227303"
"303","NM","view_category","category_opened","","NM","admin","DEV-R2FQB6","2026-03-31 10:36:16.278479"
"304","L011","add","new_item","","Lodowki","admin","DEV-GF8KN6","2026-03-31 10:39:00.678592"
"305","LADY","view_category","category_opened","","LADY","hilvait","DEV-20B31Y","2026-03-31 10:57:03.199137"
"306","LADY","view_category","category_opened","","LADY","admin","DEV-ZI84A","2026-03-31 10:57:26.075374"
"307","L025","add","new_item","","LADY","admin","DEV-BQJ1UW","2026-03-31 10:58:22.660348"
"308","L26","add","new_item","","LADY","admin","DEV-DQM2SQ","2026-03-31 10:59:09.98215"
"309","A27","add","new_item","","LADY","admin","DEV-PYG7HP","2026-03-31 10:59:53.710324"
"310","A02","add","new_item","","LADY","admin","DEV-SVUM1A","2026-03-31 11:02:09.625699"
"311","A02","edit","all","","A02","admin","DEV-RXS1QO","2026-03-31 11:02:29.319291"
"312","NM","view_category","category_opened","","NM","admin","DEV-9C4DB4","2026-03-31 11:03:33.492006"
"313","LADY","view_category","category_opened","","LADY","admin","DEV-9D76W4","2026-03-31 11:03:35.582739"
"314","A04","add","new_item","","LADY","admin","DEV-NIVVKW","2026-03-31 11:05:02.619554"
"315","A04","edit","all","","A04","admin","DEV-P1C8YX","2026-03-31 11:05:38.663825"
"316","NM","view_category","category_opened","","NM","hilvait","DEV-XBASV4","2026-03-31 11:06:33.062343"
"317","NM","view_category","category_opened","","NM","admin","DEV-X6DDH6","2026-03-31 11:06:40.773703"
"318","LADY","view_category","category_opened","","LADY","admin","DEV-WUCABH","2026-03-31 11:06:41.673589"
"319","A02","edit","all","","A02","admin","DEV-WR0DBV","2026-03-31 11:06:47.806067"
"320","A5","add","new_item","","LADY","admin","DEV-JJVK2I","2026-03-31 11:07:54.408334"
"321","A6","add","new_item","","LADY","admin","DEV-H2TH8E","2026-03-31 11:08:51.371248"
"322","A8","add","new_item","","LADY","admin","DEV-AQEIX1","2026-03-31 11:11:33.11468"
"323","NM","view_category","category_opened","","NM","admin","DEV-BP25SX","2026-03-31 11:11:53.820506"
"324","LADY","view_category","category_opened","","LADY","admin","DEV-BR9HIE","2026-03-31 11:11:57.862113"
"325","A9","add","new_item","","LADY","admin","DEV-OJX6EV","2026-03-31 11:12:58.905961"
"326","A9","edit","all","","A9","admin","DEV-RCONR6","2026-03-31 11:13:56.464306"
"327","A10","add","new_item","","LADY","admin","DEV-VS6A39","2026-03-31 11:14:39.992787"
"328","A22","add","new_item","","LADY","admin","DEV-G6BN1J","2026-03-31 11:16:38.541743"
"329","A23","add","new_item","","LADY","admin","DEV-DU2MLW","2026-03-31 11:17:27.242465"
"330","A24","add","new_item","","LADY","admin","DEV-KUNCR","2026-03-31 11:18:36.970847"
"331","A25","edit","all","L025","A25","admin","DEV-1DLLWO","2026-03-31 11:19:21.401574"
"332","A26","edit","all","L26","A26","admin","DEV-1U0ZM1","2026-03-31 11:19:29.920074"
"333","A25","edit","all","L025","A25","admin","DEV-LMI4TV","2026-03-31 12:34:48.171239"
"334","A26","edit","all","L26","A26","admin","DEV-L5XQBD","2026-03-31 12:34:56.153882"
"335","NM","view_category","category_opened","","NM","admin","DEV-6I4K8L","2026-03-31 12:36:34.620686"
"336","LADY","view_category","category_opened","","LADY","admin","DEV-6HJEL3","2026-03-31 12:36:36.06812"
"337","NM","view_category","category_opened","","NM","admin","DEV-7BESGV","2026-03-31 12:38:00.590063"
"338","LADY","view_category","category_opened","","LADY","admin","DEV-7NLCVA","2026-03-31 12:38:01.920714"
"339","LADY","view_category","category_opened","","LADY","admin","DEV-8NVUZW","2026-03-31 12:38:26.270998"
"340","NM","view_category","category_opened","","NM","admin","DEV-8NBJ4H","2026-03-31 12:38:26.373959"
"341","NM","view_category","category_opened","","NM","admin","DEV-94V14L","2026-03-31 12:38:35.904857"
"342","LADY","view_category","category_opened","","LADY","admin","DEV-95GM42","2026-03-31 12:38:36.851136"
"343","NM","view_category","category_opened","","NM","admin","DEV-9MF32V","2026-03-31 12:38:46.362058"
"344","LADY","view_category","category_opened","","LADY","admin","DEV-A1DXUT","2026-03-31 12:38:52.849072"
"345","NM","view_category","category_opened","","NM","admin","DEV-UO9Q4Z","2026-03-31 12:42:34.024155"
"346","LADY","view_category","category_opened","","LADY","admin","DEV-UN9BXM","2026-03-31 12:42:35.707128"
"347","NM","view_category","category_opened","","NM","admin","DEV-KHSWZ5","2026-03-31 12:45:08.40622"
"348","LADY","view_category","category_opened","","LADY","admin","DEV-KIFA5V","2026-03-31 12:45:09.879988"
"349","NM","view_category","category_opened","","NM","admin","DEV-YW5D87","2026-03-31 12:47:10.179963"
"350","NM","view_category","category_opened","","NM","admin","DEV-KT70N0","2026-03-31 12:48:31.988681"
"351","LADY","view_category","category_opened","","LADY","admin","DEV-KOX4ST","2026-03-31 12:48:39.490433"
"352","NM","view_category","category_opened","","NM","admin","DEV-KEAJ0F","2026-03-31 13:02:12.919377"
"353","NM","view_category","category_opened","","NM","admin","DEV-KC42LA","2026-03-31 13:02:15.737444"
"354","LADY","view_category","category_opened","","LADY","admin","DEV-K9GV79","2026-03-31 13:02:20.401725"
"355","NM","view_category","category_opened","","NM","Adrianna","DEV-YX9GSO","2026-03-31 14:20:52.180081"
"356","NM","view_category","category_opened","","NM","Adrianna","DEV-YEM0F4","2026-04-01 08:35:47.590069"
"357","Krzesla","view_category","category_opened","","Krzesla","Adrianna","DEV-YDH7IA","2026-04-01 08:35:47.964322"
"358","NM","view_category","category_opened","","NM","admin","DEV-A1P1C","2026-04-01 11:10:42.173331"
"359","LADY","view_category","category_opened","","LADY","admin","DEV-8XE1H","2026-04-01 11:10:42.598912"
"360","NM","view_category","category_opened","","NM","hilvait","DEV-AZBUDC","2026-04-01 11:28:21.399877"
"361","LADY","view_category","category_opened","","LADY","hilvait","DEV-B13NJV","2026-04-01 11:28:24.064785"
"362","NM","view_category","category_opened","","NM","admin","DEV-CVIFL0","2026-04-01 11:29:01.104775"
"363","LADY","view_category","category_opened","","LADY","admin","DEV-CW5WXJ","2026-04-01 11:29:01.751858"
"364","NM","view_category","category_opened","","NM","admin","DEV-6KY2GH","2026-04-01 11:31:41.316365"
"365","Historia","view_category","category_opened","","Historia","admin","DEV-6KEUOA","2026-04-01 11:31:42.247364"
"366","LADY","view_category","category_opened","","LADY","admin","DEV-6JVPUV","2026-04-01 11:31:43.127799"
"367","LADY","view_category","category_opened","","LADY","admin","DEV-545VV2","2026-04-01 11:32:14.075228"
"368","NM","view_category","category_opened","","NM","admin","DEV-4M1TQG","2026-04-01 11:32:26.236942"
"369","LADY","view_category","category_opened","","LADY","admin","DEV-49XPN9","2026-04-01 11:32:27.254365"
"370","NM","view_category","category_opened","","NM","admin","DEV-NNPCNK","2026-04-01 11:35:17.27174"
"371","LADY","view_category","category_opened","","LADY","admin","DEV-NOQVLE","2026-04-01 11:35:18.771459"
"372","NM","view_category","category_opened","","NM","admin","DEV-KR0TC7","2026-04-01 11:37:44.073125"
"373","LADY","view_category","category_opened","","LADY","admin","DEV-KQ26VP","2026-04-01 11:37:45.475836"
"374","NM","view_category","category_opened","","NM","admin","DEV-KC5QFD","2026-04-01 11:37:50.270718"
"375","LADY","view_category","category_opened","","LADY","admin","DEV-KB7WSI","2026-04-01 11:37:51.370218"
"376","NM","view_category","category_opened","","NM","admin","DEV-8HSPCO","2026-04-01 11:40:56.469694"
"377","LADY","view_category","category_opened","","LADY","admin","DEV-8IDSKC","2026-04-01 11:40:57.684793"
"378","Historia","view_category","category_opened","","Historia","hilvait","DEV-H2B820","2026-04-01 11:46:29.645114"
"379","LADY","view_category","category_opened","","LADY","hilvait","DEV-H173L8","2026-04-01 11:46:30.281037"
"380","NM","view_category","category_opened","","NM","hilvait","DEV-KW9TX1","2026-04-01 11:47:56.208542"
"381","LADY","view_category","category_opened","","LADY","hilvait","DEV-L8TUAB","2026-04-01 11:47:57.693993"
"382","NM","view_category","category_opened","","NM","hilvait","DEV-M6BIUS","2026-04-01 11:48:16.304572"
"383","Historia","view_category","category_opened","","Historia","hilvait","DEV-MAQJ7L","2026-04-01 11:48:24.36705"
"384","LADY","view_category","category_opened","","LADY","hilvait","DEV-MATJF9","2026-04-01 11:48:24.97165"
"385","NM","view_category","category_opened","","NM","hilvait","DEV-P5ACZI","2026-04-01 11:56:56.296498"
"386","LADY","view_category","category_opened","","LADY","hilvait","DEV-PHYVAI","2026-04-01 11:56:58.156422"
"387","NM","view_category","category_opened","","NM","hilvait","DEV-PL4LSX","2026-04-01 11:57:03.392324"
"388","NM","view_category","category_opened","","NM","hilvait","DEV-PYCYS7","2026-04-01 11:57:06.607052"
"389","LADY","view_category","category_opened","","LADY","hilvait","DEV-PYHIRZ","2026-04-01 11:57:07.365172"
"390","NM","view_category","category_opened","","NM","hilvait","DEV-IFRBJ6","2026-04-01 11:59:35.036358"
"391","LADY","view_category","category_opened","","LADY","hilvait","DEV-HYSC5B","2026-04-01 11:59:44.398018"
"392","NM","view_category","category_opened","","NM","hilvait","DEV-EQ8M7A","2026-04-01 12:00:49.514863"
"393","Historia","view_category","category_opened","","Historia","hilvait","DEV-EO23K2","2026-04-01 12:00:53.357756"
"394","LADY","view_category","category_opened","","LADY","hilvait","DEV-EO06KM","2026-04-01 12:00:53.551537"
"395","NM","view_category","category_opened","","NM","hilvait","DEV-QIA6GP","2026-04-01 12:10:57.157212"
"396","LADY","view_category","category_opened","","LADY","hilvait","DEV-Y85Y5J","2026-04-01 12:10:58.474632"
"397","NM","view_category","category_opened","","NM","hilvait","DEV-X6CMPU","2026-04-01 12:11:24.494838"
"398","LADY","view_category","category_opened","","LADY","hilvait","DEV-VEKLPQ","2026-04-01 12:11:56.493448"
"399","NM","view_category","category_opened","","NM","hilvait","DEV-H646QR","2026-04-01 12:13:28.521995"
"400","Historia","view_category","category_opened","","Historia","hilvait","DEV-H5JTHE","2026-04-01 12:13:29.522359"
"401","LADY","view_category","category_opened","","LADY","hilvait","DEV-GQ68LI","2026-04-01 12:13:36.66375"
"402","NM","view_category","category_opened","","NM","hilvait","DEV-AAJ1KU","2026-04-01 12:16:08.899958"
"403","LADY","view_category","category_opened","","LADY","hilvait","DEV-ABK2V6","2026-04-01 12:16:10.40441"
"404","Lodowki","view_category","category_opened","","Lodowki","hilvait","DEV-BRD6XF","2026-04-01 12:16:41.956335"
"405","Historia","view_category","category_opened","","Historia","hilvait","DEV-Q0WHQC","2026-04-01 12:18:16.082746"
"406","NM","view_category","category_opened","","NM","hilvait","DEV-S3L9VQ","2026-04-01 12:20:36.572434"
"407","Historia","view_category","category_opened","","Historia","hilvait","DEV-S31K6K","2026-04-01 12:20:37.690521"
"408","NM","view_category","category_opened","","NM","hilvait","DEV-VEZ0EQ","2026-04-01 12:25:30.146916"
"409","Historia","view_category","category_opened","","Historia","hilvait","DEV-VEGLHW","2026-04-01 12:25:30.783139"
"410","NM","view_category","category_opened","","NM","hilvait","DEV-1M6LKO","2026-04-01 12:28:58.395335"
"411","LADY","view_category","category_opened","","LADY","hilvait","DEV-1L84Z5","2026-04-01 12:28:59.283484"
"412","NM","view_category","category_opened","","NM","hilvait","DEV-UIVWAY","2026-04-01 12:33:17.168869"
"413","LADY","view_category","category_opened","","LADY","hilvait","DEV-UHUVT1","2026-04-01 12:33:18.650058"
"414","Historia","view_category","category_opened","","Historia","hilvait","DEV-UG6TJ6","2026-04-01 12:33:21.762792"
"415","NM","view_category","category_opened","","NM","hilvait","DEV-YQ92XD","2026-04-01 12:37:54.505119"
"416","LADY","view_category","category_opened","","LADY","hilvait","DEV-YP5HRI","2026-04-01 12:37:55.772916"
"417","Historia","view_category","category_opened","","Historia","hilvait","DEV-YCKODP","2026-04-01 12:37:57.231279"
"418","LADY","view_category","category_opened","","LADY","hilvait","DEV-YBVV0X","2026-04-01 12:37:59.170058"
"419","Historia","view_category","category_opened","","Historia","hilvait","DEV-YBEK4Q","2026-04-01 12:37:59.845915"
"420","LADY","view_category","category_opened","","LADY","hilvait","DEV-YAW4EM","2026-04-01 12:38:00.586397"
"421","NM","view_category","category_opened","","NM","hilvait","DEV-YAS4J1","2026-04-01 12:38:01.247876"
"422","LADY","view_category","category_opened","","LADY","hilvait","DEV-K4KYUI","2026-04-01 12:39:29.121249"
