"name","quantity","ilosc","description","photo_url","wysokosc","szerokosc","glebokosc","data_wyjazdu","stan","updatedat","linknadysk","category","updatedby","deviceid","stoisko"
"NM017","Wkrętarka","1","Nr : 2015 1308 1
 Makitta DF347D","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760523838/NM017_hen4mp.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/19-jD2djFk0hNbU8D3vhmLZeVJ_IWXR6n?usp=drive_link","NM",,,
"NM018","Wkrętarka","1","Nr :  2017.11 43039YMakitta TD126D","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760523841/NM018_xueclp.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/14jK23Oxzkj9LjH-Cx9ljs2y-VBO7NWwU?usp=drive_link","NM",,,
"NM019","Wkrętarka","1","Nr. 2017. 13827 Y
 Makitta DHP453","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760523844/NM019_md5pys.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1e6JIsZTvmC0JcfnFrkUk6dQdmke7_SlK?usp=drive_link","NM",,,
"NM020","Wkrętarka akumulatorowa","1","Cordless Drill 060-201","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760523846/NM020_byh9py.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1moJAsFT8iHOep2-yM6xykcsVeVn5vlhg?usp=drive_link","NM",,,
"NM021","Wkrętarka","1","627TD Makitta","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760523849/NM021_zegl8m.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1yGrDAcVmwH6kTH80eKi1WhMGIimSyc6O?usp=drive_link","NM",,,
"NM022","Ladowarka","1","Makitta 0220       DC18WAU   N : 630676G5","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760523850/NM022_pdqwd5.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1VXwon4VL7S35LQMdZxf85JaPvkMwXRHi?usp=drive_link","NM",,,
"NM023","Ladowarka","1","MAkitta 1206610    CH.P/N : 630388E0","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760523852/NM023_iumj8c.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/199SaVuE8U726DSIq-fo8M4XdYme7Byx7?usp=drive_link","NM",,,
"NM024","Ladowarka","1","Makitta 3817         DC18WAU   N : 630676G5","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760523854/NM024_s4xxsi.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1hOilinhRT5-ad704GxMj8cSMejyYVaI9?usp=drive_link","NM",,,
"NM025","Wkrętarka","1","2017/03/EB055286
  UDAR SDS MLOT UDAR EINH","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760523856/NM025_mfm5gb.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1zjfihyJyeAS3KeR3ZTSXnxu44XqNryM-?usp=drive_link","NM",,,
"NM026","Gumówka","1","EAG1010-125 sn:0100319W34","https://res.cloudinary.com/dxcwqo6bm/image/upload/v1760521272/IMG_0953_da2c0k.jpg",,,,,"Wolna",,"https://drive.google.com/drive/folders/1-kTNYEb7foZxNt2f8jAkkiBUhO1HKhoH?usp=drive_link","NM",,,
